TITLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase,Deliverable / Document,Site,Docs,Priority,Status,Notes / Actions,"Feb 24
▼NOW",Mar 1–15,Mar 16–31,Apr 1–15,Apr 16–30,May 1–15,May 16–31,Jun 1–15,"Jun 16–30
★COE",Jul 1–15,Jul 16–31,Aug 1–15,Aug 16–31,Sep 1–15,Sep 16–30,Oct 1–15,Oct 16–31,Nov 1–15,Nov 16–30,Dec 1–15,"Dec 16–31
★"
WS1,ATS Process Owner: meeting & alignment strategy,Aqil,1,P0,Not Started,▶ PARALLEL — runs alongside site doc creation. Not a blocker.  |  BLOCKER — gates all phase work,◀,▶,,,,,,,,,,,,,,,,,,,
WS1,Process Alignment Guide (ME ↔ ATS gates mapped),Aqil,1,P0,Not Started,▶ PARALLEL — runs alongside site doc creation. Not a blocker.,◀,▶,,,,,,,,,,,,,,,,,,,
WS1,ATS context added to all phase content (ongoing),Aqil,1,P1,Not Started,▶ PARALLEL rolling task.  |  Rolling task,◀,,,,,,,▶,,,,,,,,,,,,,
WS1,Quarterly ATS sync cadence established,Aqil,1,P1,Not Started,,,,,,,,◀,,,,,,,,,,,,,,
WS1,🎯 ATS Alignment complete + Google Site LIVE,Aqil,,P0,,Week of Mar 13,,,▲,,,,,,,,,,,,,,,,,,
WS2,Google Site infrastructure + navigation,Aqil,1,P0,Not Started,▶ PARALLEL — not blocking doc creation.,◀,▶,,,,,,,,,,,,,,,,,,,
WS2,Master 7-phase process diagram,Aqil,1,P0,Not Started,▶ PARALLEL — in progress.,◀,▶,,,,,,,,,,,,,,,,,,,
WS2,Gate criteria defined (all gates),Aqil,1,P0,Not Started,▶ PARALLEL — in progress.,◀,▶,,,,,,,,,,,,,,,,,,,
WS2,Process overview page + contribution guide,Aqil,1,P1,Not Started,,,,,,,◀,,▶,,,,,,,,,,,,,
WS2,Tracking script + dashboard deployed,Aqil,1,P1,Not Started,Auto-monitors Drive,,,,,,◀,,,▶,,,,,,,,,,,,
Ph0,Manufacturability Assessment Checklist,CMG,1,P1,Not Started,GO — genuine ME gap,◀,,,▶,,,,,,,,,,,,,,,,,
Ph0,Competitor Teardown Guide,CMG,1,P1,Not Started,GO — predicate device analysis method,◀,,,,▶,,,,,,,,,,,,,,,,
Ph0,Customer Specs Review Checklist,CMG,1,P1,Not Started,SLIM — ME supplement to ATS SOP-732-01,,,,◀,,▶,,,,,,,,,,,,,,,
Ph0,Feasibility → 1-page ME Checklist,CMG,1,P1,Not Started,SLIM — replaces 'Feasibility Study Process',,,,◀,,▶,,,,,,,,,,,,,,,
